Index,PlayerName,Nation,position,Squad,Competition,Age,BirthYear,Full 90s Played,Goals Scored,Total Shots,Shots on Target,Shots on Target%,Shots Per90,Shots on Target P90,Goals Per Shot,G/SOT,Average shot Distance,Shots from free kicks,Penalties created,Penalties attempted,xG,npxg,npxG/Sh,G-xG,npG-npxG
332,Marcin Bułka,POL,GK,Nice,Ligue 1,24-073,1999,15.0,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
333,Jamie Bynoe-Gittens,ENG,"FW,DF",Dortmund,Bundesliga,19-130,2004,2.9,1,12,6,50.0,4.09,2.05,0.08,0.17,15.4,0,0,0,0.9,0.9,0.07,+0.1,+0.1
334,Juan Cabal,COL,DF,Hellas Verona,Serie A,22-342,2001,0.3,0,1,0,0.0,3.10,0.00,0.00,0.00,27.8,0,0,0,0.0,0.0,0.01,0.0,0.0
335,Rémy Cabella,FRA,"MF,FW",Lille,Ligue 1,33-283,1990,9.5,0,21,10,47.6,2.20,1.05,0.00,0.00,14.9,0,0,0,3.4,3.4,0.16,-3.4,-3.4
336,Jovane Cabral,CPV,"MF,FW",Salernitana,Serie A,25-185,1998,7.3,1,25,9,36.0,3.41,1.23,0.04,0.11,20.2,0,0,0,1.2,1.2,0.05,-0.2,-0.2
337,Liberato Cacace,NZL,DF,Empoli,Serie A,23-080,2000,9.1,0,2,0,0.0,0.22,0.00,0.00,0.00,27.7,0,0,0,0.0,0.0,0.02,0.0,0.0
338,Anthony Caci,FRA,DF,Mainz 05,Bundesliga,26-168,1997,12.8,2,14,2,14.3,1.10,0.16,0.14,1.00,18.9,0,0,0,0.5,0.5,0.04,+1.5,+1.5
339,Moisés Caicedo,ECU,MF,Chelsea,Premier League,22-044,2001,12.2,0,5,1,20.0,0.41,0.08,0.00,0.00,26.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
340,Tom Cairney,SCO,MF,Fulham,Premier League,32-330,1991,5.4,1,7,3,42.9,1.30,0.56,0.14,0.33,20.0,0,0,0,0.6,0.6,0.08,+0.4,+0.4
341,Jens Cajuste,SWE,MF,Napoli,Serie A,24-128,1999,3.1,0,5,2,40.0,1.63,0.65,0.00,0.00,13.5,0,0,0,0.7,0.7,0.14,-0.7,-0.7
342,Davide Calabria,ITA,DF,Milan,Serie A,27-010,1996,11.0,0,10,3,30.0,0.91,0.27,0.00,0.00,19.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
343,Riccardo Calafiori,ITA,DF,Bologna,Serie A,21-211,2002,10.3,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
344,Luca Caldirola,ITA,DF,Monza,Serie A,32-318,1991,12.9,1,4,1,25.0,0.31,0.08,0.25,1.00,10.1,0,0,0,0.3,0.3,0.08,+0.7,+0.7
345,Duje Ćaleta-Car,CRO,DF,Lyon,Ligue 1,27-090,1996,6.2,0,5,1,20.0,0.81,0.16,0.00,0.00,11.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4
346,Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,29-311,1994,13.5,7,24,3,12.5,1.78,0.22,0.04,0.33,29.4,4,6,6,5.7,1.0,0.04,+1.3,0.0
347,José Callejón,ESP,"MF,FW",Granada,La Liga,36-308,1987,5.6,0,7,3,42.9,1.25,0.54,0.00,0.00,11.0,0,0,0,0.8,0.8,0.11,-0.8,-0.8
348,Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,26-275,1997,9.0,3,27,12,44.4,3.01,1.34,0.11,0.25,12.3,0,0,0,5.8,5.8,0.22,-2.8,-2.8
349,Lamine Camara,SEN,MF,Metz,Ligue 1,19-349,2004,12.5,1,14,4,28.6,1.12,0.32,0.07,0.25,31.5,3,0,1,1.2,0.4,0.03,-0.2,+0.6
350,Mahdi Camara,FRA,MF,Brest,Ligue 1,25-169,1998,10.0,1,15,4,26.7,1.51,0.40,0.07,0.25,12.4,0,0,0,1.5,1.5,0.11,-0.5,-0.5
